Material : C60(100A)/silver       Fermi energy : 2.33
Start eV : 0.00   End eV : 7.00   Step eV : 0.02   Dwell(sec)1.00   Delay(Sec)0.10   Sweep : 5
Kinetic energy	CPS	Current	CPS/uA
eV	    	uA	    

3.160000000	113.800000000	1.811620000	62.816705490
3.180000000	116.600000000	1.810780000	64.392140404
3.200000000	132.600000000	1.809940000	73.262097086
3.220000000	145.000000000	1.809320000	80.140605310
3.240000000	151.000000000	1.809000000	83.471531233
3.260000000	169.800000000	1.808920000	93.868164430
3.280000000	187.200000000	1.809180000	103.472291314
3.300000000	190.600000000	1.809840000	105.313176855
3.320000000	202.000000000	1.811100000	111.534426592
3.340000000	222.800000000	1.812640000	122.914643834
3.360000000	227.000000000	1.814600000	125.096439987
3.380000000	245.600000000	1.817200000	135.152982611
3.400000000	263.800000000	1.820120000	144.935498758
3.420000000	263.000000000	1.822800000	144.283519860
3.440000000	283.200000000	1.825560000	155.130480510
3.460000000	294.200000000	1.828980000	160.854684032
3.480000000	301.800000000	1.833220000	164.628358844
3.500000000	292.600000000	1.837160000	159.267565155
3.520000000	313.000000000	1.840020000	170.106846665
3.540000000	302.400000000	1.843000000	164.080303852
3.560000000	314.400000000	1.847000000	170.221981592
3.580000000	319.400000000	1.851060000	172.549782287
3.600000000	310.200000000	1.854380000	167.279629849
3.620000000	318.600000000	1.857740000	171.498702725
3.640000000	312.000000000	1.860740000	167.675225985
3.660000000	329.400000000	1.863440000	176.769845018
3.680000000	321.200000000	1.866300000	172.105234957
3.700000000	309.600000000	1.868560000	165.689086783
3.720000000	304.600000000	1.870300000	162.861573010
3.740000000	322.400000000	1.871800000	172.240623998
3.760000000	297.600000000	1.872880000	158.899662552
3.780000000	283.800000000	1.873620000	151.471483011
3.800000000	274.000000000	1.874180000	146.197270273
3.820000000	279.800000000	1.874500000	149.266471059
3.840000000	258.400000000	1.874640000	137.839798575
3.860000000	247.600000000	1.874640000	132.078692442
3.880000000	238.600000000	1.874640000	127.277770665
3.900000000	225.800000000	1.874440000	120.462644843
3.920000000	224.400000000	1.874380000	119.719587277
3.940000000	213.200000000	1.874420000	113.741850813
3.960000000	181.000000000	1.874540000	96.557021989
3.980000000	184.400000000	1.874800000	98.357158097
4.000000000	179.600000000	1.875260000	95.773386090
4.020000000	163.000000000	1.875800000	86.896257597
4.040000000	168.600000000	1.876660000	89.840461245
4.060000000	164.600000000	1.877600000	87.665104389
4.080000000	140.800000000	1.878740000	74.943845343
4.100000000	139.600000000	1.880060000	74.252949374
4.120000000	131.800000000	1.881720000	70.042301724
4.140000000	135.600000000	1.883400000	71.997451418
4.160000000	134.400000000	1.885220000	71.291414265
4.180000000	130.400000000	1.887560000	69.083896671
4.200000000	131.800000000	1.889820000	69.742091839
4.220000000	132.800000000	1.892240000	70.181372342
4.240000000	132.400000000	1.895000000	69.868073879
4.260000000	134.200000000	1.897760000	70.714948149
4.280000000	141.600000000	1.900760000	74.496517183
4.300000000	146.600000000	1.903900000	76.999842429
4.320000000	135.000000000	1.907640000	70.768069447
4.340000000	152.800000000	1.911860000	79.922170033
4.360000000	147.800000000	1.915820000	77.147122381
4.380000000	172.000000000	1.920320000	89.568405266
4.400000000	184.600000000	1.925420000	95.875185674
4.420000000	168.600000000	1.930200000	87.348461299
4.440000000	187.400000000	1.935760000	96.809521842
4.460000000	209.400000000	1.941640000	107.846974722
4.480000000	205.600000000	1.947020000	105.597271728
4.500000000	209.000000000	1.951600000	107.091617135
4.520000000	228.200000000	1.956720000	116.623737683
4.540000000	243.200000000	1.961660000	123.976632036
4.560000000	232.600000000	1.966320000	118.292037919
4.580000000	264.400000000	2.165900000	122.073964634
4.600000000	271.400000000	1.971880000	137.635150212
4.620000000	264.800000000	1.976320000	133.986398964
4.640000000	273.400000000	1.980740000	138.029221402
4.660000000	297.000000000	1.985640000	149.573940896
4.680000000	295.000000000	1.989500000	148.278461925
4.700000000	293.600000000	1.992940000	147.320039740
4.720000000	315.000000000	1.996140000	157.804562806
4.740000000	307.800000000	1.998700000	154.000100065
4.760000000	314.000000000	2.000760000	156.940362662
4.780000000	301.800000000	2.002380000	150.720642436
4.800000000	301.400000000	2.003620000	150.427725816
4.820000000	321.400000000	2.004460000	160.342436367
4.840000000	297.200000000	2.005020000	148.227947851
4.860000000	298.600000000	2.005220000	148.911341399
4.880000000	289.600000000	2.005200000	144.424496310
4.900000000	308.400000000	2.004620000	153.844618930
4.920000000	286.800000000	2.004220000	143.098063087
4.940000000	308.400000000	2.003480000	153.932158045
4.960000000	283.400000000	2.002740000	141.506136593
4.980000000	281.000000000	2.002220000	140.344217918
5.000000000	284.600000000	2.001680000	142.180568323
5.020000000	280.800000000	2.000900000	140.336848418
5.040000000	287.600000000	2.000120000	143.791372518
5.060000000	269.800000000	1.999660000	134.922936899
5.080000000	265.200000000	1.999020000	132.665005853
5.100000000	264.600000000	1.998660000	132.388700429
5.120000000	253.000000000	1.998560000	126.591145625
5.140000000	264.000000000	1.998360000	132.108328830
5.160000000	265.000000000	1.998160000	132.622012251
5.180000000	273.000000000	1.998460000	136.605185993
5.200000000	274.800000000	1.998860000	137.478362667
5.220000000	278.400000000	1.999140000	139.259881749
5.240000000	277.000000000	1.999760000	138.516621995
5.260000000	279.200000000	2.000680000	139.552552132
5.280000000	277.800000000	2.001420000	138.801450970
5.300000000	286.000000000	2.002540000	142.818620352
5.320000000	316.000000000	2.003940000	157.689351977
5.340000000	337.400000000	2.005120000	168.269230769
5.360000000	342.000000000	2.006220000	170.469838801
5.380000000	354.200000000	2.007720000	176.419022573
