eV	CPS	eV	CPS
20.62	8994	2.18	179.88
20.63	9330	2.17	186.6
20.64	9099	2.16	181.98
20.65	9090	2.15	181.8
20.66	9102	2.14	182.04
20.67	9591	2.13	191.82
20.68	9067	2.12	181.34
20.69	8881	2.11	177.62
20.7	8895	2.1	177.9
20.71	8448	2.09	168.96
20.72	8915	2.08	178.3
20.73	8513	2.07	170.26
20.74	8670	2.06	173.4
20.75	8177	2.05	163.54
20.76	8438	2.04	168.76
20.77	7715	2.03	154.3
20.78	7908	2.02	158.16
20.79	7522	2.01	150.44
20.8	7822	2	156.44
20.81	7107	1.99	142.14
20.82	7509	1.98	150.18
20.83	7341	1.97	146.82
20.84	6849	1.96	136.98
20.85	7007	1.95	140.14
20.86	6395	1.94	127.9
20.87	6527	1.93	130.54
20.88	6408	1.92	128.16
20.89	5556	1.91	111.12
20.9	6597	1.9	131.94
20.91	6009	1.89	120.18
20.92	5651	1.88	113.02
20.93	5342	1.87	106.84
20.94	5214	1.86	104.28
20.95	4928	1.85	98.56
20.96	5011	1.84	100.22
20.97	4819	1.83	96.38
20.98	5105	1.82	102.1
20.99	4542	1.81	90.84
21	4526	1.8	90.52
21.01	4677	1.79	93.54
21.02	4748	1.78	94.96
21.03	4597	1.77	91.94
21.04	4152	1.76	83.04
21.05	4328	1.75	86.56
21.06	4028	1.74	80.56
21.07	3904	1.73	78.08
21.08	4239	1.72	84.78
21.09	3965	1.71	79.3
21.1	4167	1.7	83.34
21.11	3623	1.69	72.46
21.12	3810	1.68	76.2
21.13	3649	1.67	72.98
21.14	3605	1.66	72.1
21.15	3958	1.65	79.16
21.16	3669	1.64	73.38
21.17	3686	1.63	73.72
21.18	3309	1.62	66.18
21.19	3263	1.61	65.26
21.2	3486	1.6	69.72
21.21	3073	1.59	61.46
21.22	3221	1.58	64.42
21.23	3209	1.57	64.18
21.24	3640	1.56	72.8
21.25	2920	1.55	58.4
21.26	2977	1.54	59.54
21.27	3220	1.53	64.4
21.28	3169	1.52	63.38
21.29	3455	1.51	69.1
21.3	3084	1.5	61.68
21.31	3069	1.49	61.38
21.32	3085	1.48	61.7
21.33	3070	1.47	61.4
21.34	3343	1.46	66.86
21.35	3208	1.45	64.16
21.36	3152	1.44	63.04
21.37	3211	1.43	64.22
21.38	3216	1.42	64.32
21.39	2939	1.41	58.78
21.4	3041	1.4	60.82
21.41	3188	1.39	63.76
21.42	3285	1.38	65.7
21.43	2794	1.37	55.88
21.44	3123	1.36	62.46
21.45	3029	1.35	60.58
21.46	3031	1.34	60.62
21.47	2841	1.33	56.82
21.48	3193	1.32	63.86
21.49	3015	1.31	60.3
21.5	2894	1.3	57.88
21.51	2850	1.29	57
21.52	3133	1.28	62.66
21.53	2871	1.27	57.42
21.54	2789	1.26	55.78
21.55	2986	1.25	59.72
21.56	2834	1.24	56.68
21.57	3153	1.23	63.06
21.58	2879	1.22	57.58
21.59	3079	1.21	61.58
21.6	3156	1.2	63.12
21.61	3403	1.19	68.06
21.62	3078	1.18	61.56
21.63	3195	1.17	63.9
21.64	3240	1.16	64.8
21.65	2866	1.15	57.32
21.66	2991	1.14	59.82
21.67	3069	1.13	61.38
21.68	3316	1.12	66.32
21.69	2998	1.11	59.96
21.7	3317	1.1	66.34
21.71	3212	1.09	64.24
21.72	3417	1.08	68.34
21.73	3462	1.07	69.24
21.74	3459	1.06	69.18
21.75	3465	1.05	69.3
21.76	3462	1.04	69.24
21.77	3176	1.03	63.52
21.78	3245	1.02	64.9
21.79	3329	1.01	66.58
21.8	3254	1	65.08
21.81	3240	0.99	64.8
21.82	3639	0.98	72.78
21.83	3670	0.97	73.4
21.84	3790	0.96	75.8
21.85	3362	0.95	67.24
21.86	3726	0.94	74.52
21.87	3840	0.93	76.8
21.88	4236	0.92	84.72
